tool_condition,machine_finalization_mean,machine_finalization_std,machine_finalization_count,X1_CurrentFeedback_mean,X1_CurrentFeedback_std,X1_DCBusVoltage_mean,X1_DCBusVoltage_std,M1_CURRENT_FEEDRATE_mean,M1_CURRENT_FEEDRATE_std
0,0.6375,0.4808,2400,-0.4304,4.3645,0.0597,0.0481,23.3583,19.2863
1,0.5953,0.4909,3000,-0.4429,4.2235,0.0667,0.0368,18.029,20.5492
